date,facebook_ad_campaign,facebook_ad_views,facebook_ad_clicks,facebook_ad_conversions,cost_per_facebook_ad,facebook_click_through_rate_clicks_view,facebook_conversion_rate_conversions_clicks,facebook_cost_per_click_ad_cost_clicks,adwords_ad_campaign,adwords_ad_views,adwords_ad_clicks,adwords_ad_conversions,cost_per_adwords_ad,adwords_click_through_rate_clicks_view,adwords_conversion_rate_conversions_click,adwords_cost_per_click_ad_cost_clicks
2019-01-01,FB_Jan19,2116,18,8,126.0,0.0083,0.42729999999999996,7.14,AW_Jan19,4984,59,5,194.0,0.0118,0.084,3.3
2019-01-02,FB_Jan19,3106,36,12,104.0,0.0115,0.3404,2.91,AW_Jan19,4022,71,6,75.0,0.0177,0.078,1.05
2019-01-03,FB_Jan19,3105,26,8,102.0,0.0084,0.3145,3.89,AW_Jan19,3863,44,4,141.0,0.0113,0.0959,3.23
2019-01-04,FB_Jan19,1107,27,9,71.0,0.0245,0.34759999999999996,2.62,AW_Jan19,3911,49,5,141.0,0.0126,0.1108,2.86
2019-01-05,FB_Jan19,1317,15,7,78.0,0.011000000000000001,0.47590000000000005,5.38,AW_Jan19,4070,55,7,133.0,0.013600000000000001,0.1222,2.4
2019-01-06,FB_Jan19,1958,37,10,113.0,0.018600000000000002,0.2822,3.08,AW_Jan19,4052,51,4,135.0,0.0125,0.0697,2.65
2019-01-07,FB_Jan19,2941,49,15,37.0,0.0166,0.30219999999999997,0.76,AW_Jan19,3845,66,7,90.0,0.0172,0.1107,1.37
2019-01-08,FB_Jan19,2805,49,12,105.0,0.0174,0.2409,2.14,AW_Jan19,5147,69,4,153.0,0.0134,0.0645,2.22
2019-01-09,FB_Jan19,2520,36,12,96.0,0.0144,0.33740000000000003,2.63,AW_Jan19,3861,82,9,140.0,0.0212,0.1112,1.71
2019-01-10,FB_Jan19,1896,41,13,62.0,0.0215,0.32289999999999996,1.53,AW_Jan19,4938,48,5,147.0,0.0098,0.1119,3.03
2019-01-11,FB_Jan19,1828,51,14,41.0,0.0278,0.2786,0.8,AW_Jan19,4351,58,7,84.0,0.013300000000000001,0.1191,1.46
2019-01-12,FB_Jan19,1553,56,14,123.0,0.0361,0.2536,2.19,AW_Jan19,5442,68,8,177.0,0.0125,0.12369999999999999,2.61
2019-01-13,FB_Jan19,1699,48,12,88.0,0.028399999999999998,0.2415,1.83,AW_Jan19,4283,83,7,158.0,0.019299999999999998,0.0863,1.91
2019-01-14,FB_Jan19,1803,42,11,67.0,0.0235,0.2708,1.58,AW_Jan19,4060,78,9,91.0,0.0192,0.11410000000000001,1.16
2019-01-15,FB_Jan19,1493,56,12,59.0,0.0374,0.21789999999999998,1.05,AW_Jan19,3957,36,3,165.0,0.0091,0.0776,4.55
2019-01-16,FB_Jan19,2493,31,7,92.0,0.0123,0.23260000000000003,3.01,AW_Jan19,3925,48,6,96.0,0.0121,0.1341,2.02
